 |ForeScout Technologies|Sell|22 Jul|231.36 |8|$28.92 |
 |ForeScout Technologies|Sell|8 Jun|2,308.86 |100|$23.09 |
 |Fortress Value|Buy|22 Jan|596.68 |50|$11.93 |
 |Franklin Resources|Buy|20 Jul|2,052.00 |100|$20.52 |
 |Franklin Resources|Sell|10 Jun|2,290.86 |99|$23.14 |
 |Franklin Resources|Sell|11 Aug|2,287.01 |100|$22.87 |
 |Gamida Cel| Buy |21 Jan|860.00 |100|$8.60 |
 |Gamida Cel|Buy|29 Oct|1,065.66 |200|$5.33 |
 |Gamida Cel|Buy|29 Oct 2020|1,065.66 |200|$5.33 |
 |Genetic Technologies|Buy|21 Jul|461.00 |100|$4.61 |
 |Genetic Technologies|Buy|3 Dec 2020|629.56 |200|$3.15 |
 |Global Blood Therapeutics|Buy|26 Jun|323.60 |5|$64.72 |
 |Global Blood Therapeutics|Buy|3 Dec 2020|887.40 |20|$44.37 |
 |Global Blood Therapeutics|Sell|20 Jan|1,230.36 |25|$49.21 |
 |Greenwich LifeSciences|Buy|11 Dec 2020|1,015.40 |20|$50.77 |
 |Heat Biologics|Buy|10 Nov 2020|492.76 |499|$0.9875 |
 |Heat Biologics|Buy|10 Nov|492.76 |499|$0.9875 |
 |Heat Biologics|Buy|20 Aug|849.00 |600|$1.42 |
 |Heat Biologics|Buy|20 Jul|302.00 |100|$3.02 |
 |Heat Biologics|Buy|23 Jul|560.00 |200|$2.80 |
 |Heat Biologics| Sell |31 Dec 2020|1,062.66 |199|$5.34 |
 |Hyliion|Buy|30 Oct|1,856.00 |100|$18.56 |
 |Hyliion|Buy|30 Oct 2020|1,856.00 |100|$18.56 |
 |Hyliion|Sell|7 Jan|1,793.45 |100|$17.93 |
 |iBio|Buy|15 Jul|383.00 |100|$3.83 |
 |iBio|Buy|16 Jul|474.75 |150|$3.17 |
 |iBio|Buy|24 Jul|1,057.00 |200|$5.29 |
 |iBio|Sell|20 Jul|640.50 |100|$6.41 |
 |iBio|Sell|5 Aug|1,534.75 |350|$4.39 |
 |Immunic|Buy|24 Jun|1,586.98 |100|$15.87 |
 |Immunic|Buy|24 Nov 2020|868.81 |50|$17.38 |
